thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 211764,11426,915455, 0,0,10000,84,20
1, 1, 200984,11259,870898, 0,0,10000,80,19
1, 1, 209502,11812,908466, 0,0,10000,83,20
4, 4, 740755,40134,3205654, 550,0,10000,294,72
4, 4, 658125,36134,2848960, 340,0,10000,262,64
4, 4, 725893,39422,3141961, 284,0,10000,289,70
8, 8, 1358431,75125,5880630, 851,0,10000,131,132
8, 8, 1324005,72963,5733729, 1036,0,10000,118,129
8, 8, 1370473,76584,5937685, 1233,0,10000,137,133
16, 16, 2153129,118585,9320894, 1285,0,10000,39,209
16, 16, 2189482,120790,9479599, 855,0,10000,52,213
16, 16, 2215516,121722,9589486, 633,0,10000,63,215
