thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 218273,11837,945361, 0,0,10000,87,21
1, 1, 209697,11438,907109, 0,0,10000,83,20
1, 1, 215684,12080,934885, 0,0,10000,86,21
4, 4, 666422,36748,2884001, 86,0,10000,265,64
4, 4, 713692,39489,3091135, 85,0,10000,284,69
4, 4, 714452,39441,3093038, 86,0,10000,284,69
8, 8, 1392377,76920,6026367, 341,0,10000,144,135
8, 8, 1279474,69640,5534825, 108,0,10000,99,124
8, 8, 1368459,75128,5921641, 338,0,10000,136,133
16, 16, 2209803,121399,9567073, 315,0,10000,61,214
16, 16, 2175305,118788,9413183, 451,0,10000,47,211
16, 16, 2106161,116688,9118925, 257,0,10000,20,204
32, 32, 2483618,136642,10750695, 429,0,10001,170,241
32, 32, 2527431,138282,10940099, 391,0,10002,187,245
32, 32, 2596979,143620,11246677, 475,0,10002,214,252
48, 48, 2509086,138188,10861637, 306,0,10001,180,243
48, 48, 2710010,148535,11729174, 371,0,10002,262,263
48, 48, 2590943,142708,11218018, 334,0,10002,212,251
