thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 353304,0,0, 0,0,9990,165,0
1, 1, 397028,0,0, 0,0,9989,185,0
1, 1, 392428,0,0, 0,0,9989,183,0
4, 4, 303999,17415219,0, 0,0,9998,142,0
4, 4, 293161,18223965,0, 0,0,9998,137,0
4, 4, 306650,18089464,0, 0,0,9998,143,0
8, 8, 257351,26589972,0, 0,0,9999,120,0
8, 8, 269311,28240467,0, 0,0,10000,113,0
8, 8, 270694,30313679,0, 0,0,9999,126,0
16, 16, 176340,10372303,0, 0,0,10001,74,0
16, 16, 169680,10983313,0, 0,0,10002,71,0
16, 16, 186331,10675890,0, 0,0,10001,78,0
