thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 278596,0,1392980, 0,0,10000,154,0
1, 1, 271525,0,1357625, 0,0,10000,150,0
1, 1, 276668,0,1383340, 0,0,10000,153,0
4, 4, 369278,0,1846390, 1252607,0,10253,205,0
4, 4, 365890,0,1829450, 1185744,0,10000,203,0
4, 4, 361040,0,1805200, 1164220,0,10000,200,0
8, 8, 261588,0,1307940, 1894288,0,10000,145,0
8, 8, 261869,0,1309345, 1861629,0,10000,145,0
8, 8, 274724,0,1373620, 1940887,0,10000,152,0
16, 16, 176200,0,881000, 2392063,0,10002,97,0
16, 16, 171797,0,858985, 2528299,0,10001,95,0
16, 16, 158842,0,794210, 2255323,0,10002,88,0
