thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 354131,0,0, 0,0,9990,148,0
1, 1, 360619,0,0, 0,0,9990,151,0
1, 1, 367512,0,0, 0,0,9990,154,0
4, 4, 1159615,142,0, 0,0,9992,31,0
4, 4, 1126770,111,0, 0,0,9992,17,0
4, 4, 1224982,141,0, 0,0,9991,59,0
8, 8, 2061037,229,0, 0,0,9993,408,0
8, 8, 1977712,213,0, 0,0,9993,375,0
8, 8, 2111040,248,0, 0,0,9993,431,0
16, 16, 2941661,367,0, 0,0,9995,323,0
16, 16, 3033133,347,0, 0,0,9995,361,0
16, 16, 3071585,361,0, 0,0,9995,378,0
32, 32, 3277622,440,0, 0,0,9997,8,0
32, 32, 3515313,485,0, 0,0,9998,109,0
32, 32, 3571340,473,0, 0,0,9997,133,0
48, 48, 3552150,487,0, 0,0,9998,124,0
48, 48, 3157978,435,0, 0,0,9999,415,0
48, 48, 3462755,464,0, 0,0,9998,86,0
