thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 299240,16374,1295024, 0,0,10000,119,0
1, 1, 300143,16555,1299138, 0,0,10000,119,0
1, 1, 294814,16685,1277666, 0,0,10000,117,0
4, 4, 1003855,55235,4345880, 313,0,10000,399,0
4, 4, 987149,53491,4269634, 243,0,10000,393,0
4, 4, 1012778,55172,4382286, 131,0,10000,402,0
8, 8, 1606860,88552,6956260, 258,0,10000,230,0
8, 8, 1702389,92723,7366933, 532,0,10000,268,0
8, 8, 1681992,92010,7281928, 209,0,10000,260,0
16, 16, 2458167,134941,10637247, 463,0,10000,160,0
16, 16, 2439940,135166,10563753, 602,0,10000,153,0
16, 16, 2369527,130119,10256396, 404,0,10000,125,0
32, 32, 2683084,147885,11615024, 475,0,10000,251,0
32, 32, 2672220,147145,11566082, 337,0,10000,245,0
32, 32, 2711585,149182,11738658, 406,0,10001,260,0
48, 48, 2530876,139290,10956960, 372,0,10000,190,0
48, 48, 2502280,137622,10830787, 355,0,10001,177,0
48, 48, 2678335,146826,11590438, 535,0,10001,248,0
