thread_num,wh_num,success,abort,pc_success,pc_abort,total_time
1, 1, 167659,9316,724652, 0, 10000
1, 1, 178335,9559,771662, 0, 10000
1, 1, 193855,10569,838687, 0, 10000
1, 1, 201300,11221,871125, 0, 10000
1, 1, 198304,10671,857340, 0, 10000
4, 1, 265988,14624,1151130, 16872, 10000
4, 1, 263789,14681,1142081, 20153, 10000
4, 1, 264423,14484,1144795, 21414, 10000
4, 1, 264147,14495,1144092, 22037, 10000
4, 1, 261729,14310,1132958, 20633, 10000
8, 2, 500789,27986,2170401, 34944, 10000
8, 2, 491889,26866,2129128, 36571, 10000
8, 2, 495053,26676,2141573, 32337, 10000
8, 2, 494502,26983,2139520, 42544, 10000
8, 2, 508695,27849,2202359, 35151, 10000
16, 4, 891682,49050,3858874, 64764, 10000
16, 4, 919962,51606,3986520, 61154, 10000
16, 4, 891632,49234,3861026, 58060, 10000
16, 4, 874399,47694,3785140, 59465, 10000
16, 4, 940901,51421,4073444, 70960, 10000
32, 8, 1412179,78136,6116205, 94289, 10000
32, 8, 1396349,76051,6045438, 89692, 10001
32, 8, 1388059,76099,6008274, 87938, 10001
32, 8, 1381261,76366,5978601, 87753, 10001
32, 8, 1429041,78592,6187181, 91303, 10001
64, 16, 1535788,84710,6650258, 110868, 10003
64, 16, 1680510,93195,7276103, 101725, 10004
64, 16, 1683295,92319,7283374, 106933, 10002
64, 16, 1511833,84045,6545591, 115241, 10002
64, 16, 1623482,89687,7031016, 104945, 10002
1, 1, 184539,10381,799948, 0, 10000
1, 1, 180620,9848,781758, 0, 10000
1, 1, 176023,9578,762068, 0, 10000
1, 1, 162627,8922,704178, 0, 10000
1, 1, 163853,9371,710009, 0, 10000
4, 4, 586003,31594,2533673, 9, 10000
4, 4, 612580,33429,2651074, 750, 10000
4, 4, 608742,33176,2634029, 518, 10000
4, 4, 640562,35128,2773782, 614, 10000
4, 4, 629185,34769,2723506, 223, 10000
8, 8, 1101086,60102,4765740, 809, 10000
8, 8, 1137008,61964,4922295, 436, 10001
8, 8, 1118159,61792,4841505, 786, 10000
8, 8, 1107510,61021,4795419, 187, 10000
8, 8, 1126436,62382,4877964, 301, 10000
16, 16, 1536629,83721,6649169, 257, 10000
16, 16, 1622457,89505,7023490, 625, 10000
16, 16, 1572114,86360,6804856, 1142, 10000
16, 16, 1523655,84085,6594213, 157, 10000
16, 16, 1704343,93221,7376775, 577, 10000
32, 32, 1797006,98700,7779013, 1266, 10001
32, 32, 1479010,82210,6404480, 1370, 10001
32, 32, 1718831,94224,7440693, 925, 10001
32, 32, 1702972,93850,7373434, 584, 10001
32, 32, 1533186,83920,6638059, 3931, 10000
64, 64, 864255,47929,3741279, 5833, 10005
