thread_num,wh_num,success,abort,pc_success,pc_abort,total_time
1, 1, 358371,19911,1552274, 0, 10000
1, 1, 349021,19207,1511969, 0, 10000
1, 1, 355117,19653,1537681, 0, 10000
1, 1, 351216,19130,1519672, 0, 10000
1, 1, 356415,20014,1544726, 0, 10000
4, 1, 961442,53213,4164962, 53414, 10000
4, 1, 957210,53158,4146676, 49503, 10000
4, 1, 928518,50175,4017733, 49295, 10000
4, 1, 899647,48686,3890974, 50032, 10000
4, 1, 970356,52646,4195679, 50319, 10000
8, 2, 1733812,94417,7502068, 84587, 10000
8, 2, 1756236,95216,7600735, 84068, 10000
8, 2, 1771814,97158,7670437, 83654, 10000
8, 2, 1794488,99203,7768731, 85663, 10000
8, 2, 1813326,99421,7846580, 85128, 10000
16, 4, 2645894,147409,11460569, 125036, 10000
16, 4, 2458836,136932,10650902, 117063, 10000
16, 4, 2647379,146783,11463126, 121841, 10000
16, 4, 2592398,142767,11221574, 120078, 10000
16, 4, 2580629,142506,11173077, 121745, 10000
32, 8, 2974203,164054,12875664, 138357, 10000
32, 8, 2981222,164088,12906222, 137284, 10000
32, 8, 2992151,164496,12949579, 134588, 10000
32, 8, 2985326,164448,12924636, 133906, 10000
32, 8, 3167943,175848,13717824, 143275, 10000
64, 16, 3253885,179177,14083618, 214566, 10001
64, 16, 3193505,176498,13824951, 205011, 10001
64, 16, 3121396,173143,13517688, 211415, 10001
64, 16, 3287151,181526,14232839, 219219, 10001
64, 16, 3208436,177383,13892054, 209122, 10001
1, 1, 353044,19247,1527124, 0, 10000
1, 1, 357145,19638,1546086, 0, 10000
1, 1, 349726,19866,1516186, 0, 10000
1, 1, 347228,19039,1503369, 0, 10000
1, 1, 351282,19275,1520828, 0, 10000
4, 4, 1217186,67229,5269889, 35, 10000
4, 4, 1196433,66793,5180012, 91, 10000
4, 4, 1206371,64876,5217010, 6, 10000
4, 4, 1200897,66328,5198723, 17, 10000
4, 4, 1201128,65814,5198373, 67, 10000
8, 8, 2028248,111886,8780285, 37, 10000
8, 8, 2061074,113944,8923388, 16, 10000
8, 8, 1926245,105857,8339975, 40, 10000
8, 8, 1982429,109240,8580588, 7, 10000
8, 8, 2058153,113701,8913116, 57, 10000
16, 16, 3019991,167274,13075227, 52, 10000
16, 16, 2964639,163411,12833414, 80, 10000
16, 16, 3013431,166445,13047711, 232, 10000
16, 16, 2902788,159163,12564393, 48, 10000
16, 16, 2916116,161733,12626278, 80, 10000
32, 32, 3473451,190093,15033584, 20, 10000
32, 32, 3426964,188394,14834159, 30, 10000
32, 32, 3473846,191467,15036494, 41, 10000
32, 32, 3289582,180569,14240142, 98, 10000
32, 32, 3272278,181624,14168878, 7, 10000
64, 64, 3498554,192737,15141344, 248, 10001
64, 64, 3439398,189293,14890555, 125, 10003
64, 64, 3382008,187730,14645202, 26, 10001
64, 64, 3347508,184801,14491002, 551, 10001
64, 64, 3505340,193912,15176614, 123, 10001
