pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014602;3424304.080394;0.014602;0.014602;0.014602;0.000000;313;103;33371;225.194207;291;693;893;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;209.002935
0.015807;6326480.826714;0.015807;0.015807;0.015807;0.000000;336;140;37755;213.949725;321;591;792;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;386.137746
0.018453;10838462.952047;0.018453;0.018453;0.018453;0.000000;388;86;38742;232.893123;377;641;866;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;661.527280
0.020016;19983856.041897;0.020016;0.020016;0.020016;0.000000;419;86;39226;211.527814;405;685;896;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1219.717776
0.016100;49690839.127337;0.016100;0.016100;0.016100;0.000000;338;132;46069;253.650935;314;627;815;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3032.888130
0.023689;67543259.980509;0.023689;0.023689;0.023689;0.000000;401;85;68133;307.089161;356;826;1123;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4122.513427
0.036572;87498522.778846;0.036572;0.036572;0.036572;0.000000;530;55;13013826;27309.503235;465;871;1137;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5340.486009
0.047695;1048327.191639;0.047695;0.047695;0.047695;0.000000;974;76;17777;270.862661;958;1498;3578;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;255.939256
0.066857;1495737.700975;0.066857;0.066857;0.066857;0.000000;1354;84;21727;342.715311;1339;2030;4478;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;365.170337
0.067312;2971254.082410;0.067312;0.067312;0.067312;0.000000;1358;60;36962;332.548191;1348;2034;4007;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;725.403829
0.062284;6422246.146873;0.062284;0.062284;0.062284;0.000000;1257;72;41772;413.758513;1294;2053;3505;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1567.931188
0.053246;15024662.608055;0.053246;0.053246;0.053246;0.000000;1073;67;42290;422.757390;939;1944;3246;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3668.130520
0.045382;35256352.131455;0.045382;0.045382;0.045382;0.000000;790;66;67947;428.273855;786;1532;2456;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8607.507845
0.077060;41526217.213884;0.077060;0.077060;0.077060;0.000000;1158;72;14010562;36051.761287;1084;1720;4610;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10138.236624
0.195232;256106.112671;0.195232;0.195232;0.195232;0.000000;3925;2339;23789;1008.989601;3546;6257;9083;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;250.103626
0.193617;516483.071741;0.193617;0.193617;0.193617;0.000000;3890;2279;22727;996.287590;3525;6054;9753;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;504.378000
0.195421;1023432.238439;0.195421;0.195421;0.195421;0.000000;3918;2296;47261;1002.805280;3544;6128;9292;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;999.445545
0.170451;2346712.752350;0.170451;0.170451;0.170451;0.000000;3393;2333;59881;796.115671;3131;6115;6666;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2291.711672
0.163673;4887793.222152;0.163673;0.163673;0.163673;0.000000;3245;2323;54100;371.300307;3155;4324;6059;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4773.235569
0.169244;9453825.107450;0.169244;0.169244;0.169244;0.000000;2946;1110;55461;823.949105;3183;4315;7180;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9232.251081
0.285605;11204299.879767;0.285605;0.285605;0.285605;0.000000;4285;1179;15013084;70554.387644;4171;5716;8729;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10941.699101
0.650978;76807.490158;0.650978;0.650978;0.650978;0.000000;13040;11443;53910;2320.148296;12252;23675;24398;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;300.029258
0.650558;153714.296304;0.650558;0.650558;0.650558;0.000000;12633;5575;61468;2974.159136;12210;23537;25404;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;600.446470
0.656421;304682.534091;0.656421;0.656421;0.656421;0.000000;12845;5425;62867;2757.653858;12276;23510;24895;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1190.166149
0.644398;620734.739565;0.644398;0.644398;0.644398;0.000000;12676;5398;73064;2329.944195;12375;24031;24927;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2424.745076
0.635683;1258488.546541;0.635683;0.635683;0.635683;0.000000;12611;5614;80188;1849.216673;12286;24027;24892;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4915.970885
0.638456;2506047.126959;0.638456;0.638456;0.638456;0.000000;9174;5674;91731;3200.719558;6748;15333;22517;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9789.246590
0.709827;4508141.224061;0.709827;0.709827;0.709827;0.000000;11260;5751;124747;2909.520790;12442;16759;20167;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;17609.926656
pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014977;3338457.197440;0.014977;0.014977;0.014977;0.000000;320;83;88818;426.261357;300;634;887;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;203.763257
0.015571;6422312.655520;0.015571;0.015571;0.015571;0.000000;331;130;31986;193.489861;315;587;805;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;391.986856
0.018287;10936676.587873;0.018287;0.018287;0.018287;0.000000;352;85;19529;202.103842;357;635;852;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;667.521764
0.019442;20573777.979309;0.019442;0.019442;0.019442;0.000000;390;85;44518;248.856655;386;670;948;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1255.723754
0.019062;41968712.429805;0.019062;0.019062;0.019062;0.000000;398;87;57842;268.939198;399;692;905;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2561.566921
0.024455;65426212.930428;0.024455;0.024455;0.024455;0.000000;416;113;57280;328.562075;371;847;1156;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3993.299129
0.034774;92021666.846540;0.034774;0.034774;0.034774;0.000000;494;52;13012787;22381.498771;461;887;1166;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;5616.556814
0.050006;999881.813970;0.050006;0.050006;0.050006;0.000000;1021;75;16815;274.540492;1012;1588;3059;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;244.111771
0.066662;1500102.306977;0.066662;0.066662;0.066662;0.000000;1347;85;19353;343.225672;1330;2010;4839;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;366.235915
0.067033;2983611.098824;0.067033;0.067033;0.067033;0.000000;1349;99;47718;380.954994;1334;2025;4197;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;728.420678
0.060465;6615396.571442;0.060465;0.060465;0.060465;0.000000;1223;65;43688;417.266038;1259;2009;3459;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1615.087054
0.052574;15216669.008766;0.052574;0.052574;0.052574;0.000000;1061;72;49753;452.187457;935;1933;3057;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3715.007082
0.054561;29325039.674488;0.054561;0.054561;0.054561;0.000000;860;56;74609;421.948325;859;1584;2827;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;7159.433514
0.080528;39737933.790617;0.080528;0.080528;0.080528;0.000000;1211;59;13013353;40268.705359;1090;1752;4817;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9701.643992
0.194903;256537.358173;0.194903;0.194903;0.194903;0.000000;3919;2231;25544;998.532657;3552;6123;8919;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;250.524764
0.192973;518207.852143;0.192973;0.192973;0.192973;0.000000;3873;2328;25744;977.142416;3507;6084;9367;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;506.062356
0.197212;1014134.746421;0.197212;0.197212;0.197212;0.000000;3930;2341;57580;1018.587503;3544;6194;9319;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;990.365963
0.173614;2303955.623972;0.173614;0.173614;0.173614;0.000000;3453;2365;46068;874.974184;3143;6197;7051;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2249.956664
0.164515;4862767.237932;0.164515;0.164515;0.164515;0.000000;3269;2274;65827;526.648373;3126;4988;6466;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4748.796131
0.180820;8848564.114190;0.180820;0.180820;0.180820;0.000000;3017;1186;87445;821.663710;3205;4401;6929;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8641.175893
0.275845;11600736.298733;0.275845;0.275845;0.275845;0.000000;4308;1226;13018111;73575.140708;4168;5721;8823;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;11328.844042
0.653065;76562.032639;0.653065;0.653065;0.653065;0.000000;13082;11426;57951;2388.097433;12251;23242;24541;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;299.070440
0.651770;153428.325556;0.651770;0.651770;0.651770;0.000000;12238;5413;44904;3468.362928;12221;23643;27926;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;599.329397
0.658398;303767.532564;0.658398;0.658398;0.658398;0.000000;12842;5479;341992;2883.897516;12297;23172;24688;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1186.591924
