pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011892;4204504.756851;0.011892;0.011892;0.011892;0.000000;256;111;32044;214.114598;263;532;722;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;256.622605
0.011642;8589941.367637;0.011642;0.011642;0.011642;0.000000;251;84;30382;200.596540;267;460;642;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;524.288414
0.011919;16780469.010753;0.011919;0.011919;0.011919;0.000000;255;122;34244;174.917784;274;481;648;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1024.198548
0.013061;30625064.456190;0.013061;0.013061;0.013061;0.000000;279;122;39172;214.209872;301;565;717;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1869.205594
0.011950;66944363.041959;0.011950;0.011950;0.011950;0.000000;256;94;44715;251.636159;273;565;701;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4085.959658
0.015848;100960060.767861;0.015848;0.015848;0.015848;0.000000;307;77;75383;279.911924;301;665;900;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6162.113084
0.028712;111451172.631771;0.028712;0.028712;0.028712;0.000000;366;51;12967200;16361.237215;334;755;1037;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6802.439736
0.017447;2865901.379290;0.017447;0.017447;0.017447;0.000000;367;103;37534;269.211483;371;775;1061;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;699.682954
0.019634;5093234.198623;0.019634;0.019634;0.019634;0.000000;404;101;35675;268.315072;414;833;1123;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1243.465381
0.020212;9895002.153152;0.020212;0.020212;0.020212;0.000000;415;82;32683;241.387793;397;831;1080;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2415.772010
0.021675;18454272.872353;0.021675;0.021675;0.021675;0.000000;443;96;41581;262.082579;417;860;1112;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4505.437713
0.019926;40148271.581779;0.019926;0.019926;0.019926;0.000000;413;100;45541;278.382614;377;802;1062;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9801.824117
0.021915;73007711.941502;0.021915;0.021915;0.021915;0.000000;419;51;48576;294.074466;382;862;1170;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;17824.148423
0.048120;66500968.420353;0.048120;0.048120;0.048120;0.000000;592;46;13011088;25434.582122;520;1017;1390;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16235.587993
