pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011791;4240364.196400;0.011791;0.011791;0.011791;0.000000;254;77;31664;214.369173;264;505;697;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;258.811291
0.011509;8688766.892809;0.011509;0.011509;0.011509;0.000000;248;124;18561;138.424090;260;466;636;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;530.320245
0.011923;16773791.085619;0.011923;0.011923;0.011923;0.000000;241;115;23966;179.399908;241;483;645;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1023.790960
0.012271;32597562.875809;0.012271;0.012271;0.012271;0.000000;262;123;37364;184.343747;286;542;685;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1989.597343
0.012253;65291129.473697;0.012253;0.012253;0.012253;0.000000;261;84;45071;252.410703;280;567;716;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3985.054289
0.016421;97437734.699337;0.016421;0.016421;0.016421;0.000000;312;113;70987;282.151336;305;664;896;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5947.127362
0.027011;118470844.972940;0.027011;0.027011;0.027011;0.000000;364;45;10081515;12401.169722;337;757;1056;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7230.886534
0.017361;2880067.204640;0.017361;0.017361;0.017361;0.000000;366;106;17787;212.020349;374;757;1017;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;703.141407
0.019055;5247908.026423;0.019055;0.019055;0.019055;0.000000;393;98;37980;257.703372;401;793;1084;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1281.227546
0.019915;10042636.515458;0.019915;0.019915;0.019915;0.000000;416;103;20659;229.100729;401;830;1078;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2451.815556
