pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011560;4325188.426834;0.011560;0.011560;0.011560;0.000000;251;120;30447;207.024355;258;506;702;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;263.988551
0.011182;8942696.897394;0.011182;0.011182;0.011182;0.000000;243;120;18306;164.733432;259;448;641;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;545.818902
0.011595;17249473.179527;0.011595;0.011595;0.011595;0.000000;225;93;38124;198.125474;200;477;649;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1052.824291
0.012324;32458061.142061;0.012324;0.012324;0.012324;0.000000;257;100;33979;208.801820;282;557;698;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1981.082833
0.012637;63307892.792832;0.012637;0.012637;0.012637;0.000000;269;80;61384;243.300211;286;577;719;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3864.007128
0.015656;102194962.567582;0.015656;0.015656;0.015656;0.000000;305;92;66780;305.635998;296;652;907;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6237.485508
0.024108;132738201.606431;0.024108;0.024108;0.024108;0.000000;334;53;6150170;3970.629329;330;765;1075;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8101.696875
0.014662;3410175.034736;0.014662;0.014662;0.014662;0.000000;313;100;19905;183.065192;313;645;902;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;832.562264
0.017224;5805713.425805;0.017224;0.017224;0.017224;0.000000;360;133;20035;219.670894;352;724;999;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1417.410504
0.022552;8868565.683768;0.022552;0.022552;0.022552;0.000000;468;100;23266;271.810399;432;962;1264;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2165.177169
0.019773;20229676.622045;0.019773;0.019773;0.019773;0.000000;413;99;45206;291.380148;378;874;1197;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4938.885894
0.021710;36848582.128742;0.021710;0.021710;0.021710;0.000000;451;97;56492;295.802632;411;965;1371;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8996.235871
0.032669;48976660.233786;0.032669;0.032669;0.032669;0.000000;614;55;59855;393.298940;573;1309;1872;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11957.192440
0.061746;51825283.236510;0.061746;0.061746;0.061746;0.000000;909;46;13019640;36164.710571;750;1725;2935;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12652.657040
0.042924;1164841.740175;0.042924;0.042924;0.042924;0.000000;878;88;35008;409.282549;851;1638;4120;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1137.540762
0.046391;2155595.449400;0.046391;0.046391;0.046391;0.000000;947;86;42504;448.557521;894;1860;4260;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2105.073681
0.044024;4542975.216730;0.044024;0.044024;0.044024;0.000000;896;90;41433;405.054037;847;1874;3738;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4436.499235
0.051166;7817634.750762;0.051166;0.051166;0.051166;0.000000;1029;92;59550;429.237460;981;2011;4016;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7634.408936
0.075020;10663790.144821;0.075020;0.075020;0.075020;0.000000;1509;95;53299;525.817679;1436;2732;4809;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10413.857563
0.099217;16126249.342112;0.099217;0.099217;0.099217;0.000000;1853;95;84038;733.519197;1739;3875;6058;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15748.290373
0.244647;13080075.013413;0.244647;0.244647;0.244647;0.000000;4040;85;18022513;69116.493576;3831;7832;10548;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12773.510755
0.070760;706612.178577;0.070760;0.070760;0.070760;0.000000;1435;281;23388;498.706798;1328;2452;5183;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2760.203823
0.069592;1436943.017536;0.069592;0.069592;0.069592;0.000000;1409;259;39957;446.046722;1333;2333;5767;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5613.058662
0.076265;2622419.182220;0.076265;0.076265;0.076265;0.000000;1537;291;45337;422.833031;1470;2470;5384;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10243.824931
0.108567;3684372.212082;0.108567;0.108567;0.108567;0.000000;2183;281;47385;425.020100;2146;3190;6076;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14392.078953
0.211035;3790834.148746;0.211035;0.211035;0.211035;0.000000;4235;329;66029;888.317573;4131;6794;10766;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14807.945894
0.264534;6048380.336551;0.264534;0.264534;0.264534;0.000000;5083;289;65096;1017.859891;5032;7625;12747;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;23626.485690
0.555589;5759653.071905;0.555589;0.555589;0.555589;0.000000;9368;286;236865;4049.521559;8785;20838;26431;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22498.644812
pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011599;4310605.693551;0.011599;0.011599;0.011599;0.000000;251;123;60672;307.674358;259;501;716;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;263.098492
0.011355;8806336.335120;0.011355;0.011355;0.011355;0.000000;246;123;17176;161.449544;261;436;626;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;537.496114
0.011542;17327617.067980;0.011542;0.011542;0.011542;0.000000;235;105;33156;169.117552;231;475;642;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1057.593815
0.012613;31713942.773300;0.012613;0.012613;0.012613;0.000000;260;103;40238;217.293586;292;553;700;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1935.665452
0.013105;61045132.345084;0.013105;0.013105;0.013105;0.000000;278;122;46048;223.085539;291;588;726;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3725.899191
0.015750;101589649.436977;0.015750;0.015750;0.015750;0.000000;304;94;65584;291.950642;296;652;913;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6200.540127
0.025719;124420675.947983;0.025719;0.025719;0.025719;0.000000;352;52;5748856;8416.414728;337;767;1078;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;7594.035397
0.015520;3221621.668988;0.015520;0.015520;0.015520;0.000000;330;149;33317;220.417388;319;681;942;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;786.528728
0.017915;5582004.020941;0.017915;0.017915;0.017915;0.000000;374;110;37154;266.250529;364;777;1058;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1362.793950
0.022608;8846573.173722;0.022608;0.022608;0.022608;0.000000;470;103;39673;276.125222;434;971;1277;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2159.807904
0.019991;20009408.423841;0.019991;0.019991;0.019991;0.000000;417;82;47574;322.242544;381;885;1207;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4885.109478
0.021549;37125149.109681;0.021549;0.021549;0.021549;0.000000;448;71;51149;324.079752;408;962;1380;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9063.757107
0.033323;48014390.392945;0.033323;0.033323;0.033323;0.000000;627;69;72008;379.288812;584;1352;1944;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;11722.263280
0.055932;57212262.769129;0.055932;0.055932;0.055932;0.000000;894;46;13020020;33917.904191;760;1844;3097;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;13967.837590
0.044878;1114140.732107;0.044878;0.044878;0.044878;0.000000;917;90;49466;461.070736;879;1770;4395;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1088.028059
0.047400;2109683.410992;0.047400;0.047400;0.047400;0.000000;965;87;20358;427.190920;920;1872;4578;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2060.237706
