pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013960;3581565.681438;0.013960;0.013960;0.013960;0.000000;298;102;17130;208.611279;272;743;1020;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;218.601421
0.014085;7099873.998536;0.014085;0.014085;0.014085;0.000000;300;103;17938;177.950772;283;615;842;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;433.341919
0.015651;12778759.860970;0.015651;0.015651;0.015651;0.000000;300;95;39917;214.190061;292;635;869;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;779.953605
0.017310;23108048.729791;0.017310;0.017310;0.017310;0.000000;362;73;40067;266.054045;347;716;952;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1410.403365
0.015161;52765272.957725;0.015161;0.015161;0.015161;0.000000;319;70;59605;307.226119;300;681;927;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3220.536680
0.023658;67630108.281721;0.023658;0.023658;0.023658;0.000000;394;72;53108;295.539480;385;830;1123;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4127.814226
0.035118;91122537.687499;0.035118;0.035118;0.035118;0.000000;481;46;13014738;20480.823768;456;872;1126;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5561.678326
0.022153;2257068.042431;0.022153;0.022153;0.022153;0.000000;462;84;20498;187.195395;432;811;1193;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;551.042003
0.030470;3281896.713131;0.030470;0.030470;0.030470;0.000000;626;58;49594;265.376401;602;954;1438;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;801.244315
0.031262;6397598.802037;0.031262;0.031262;0.031262;0.000000;639;56;34833;239.185594;612;1037;1484;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1561.913770
0.029584;13520594.925106;0.029584;0.029584;0.029584;0.000000;606;50;48358;283.137677;609;1008;1471;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3300.926495
0.023388;34206110.801973;0.023388;0.023388;0.023388;0.000000;484;77;58088;303.290781;438;916;1280;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8351.101270
0.025082;63789960.074263;0.025082;0.025082;0.025082;0.000000;464;48;56256;330.150084;436;950;1327;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15573.720721
0.061712;51853820.256478;0.061712;0.061712;0.061712;0.000000;904;40;13011143;37081.488848;756;1440;2124;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12659.624086
0.063046;793071.171920;0.063046;0.063046;0.063046;0.000000;1279;73;20144;439.564511;1275;2187;4588;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;774.483566
0.069195;1445196.995453;0.069195;0.069195;0.069195;0.000000;1402;68;20041;488.782949;1381;2374;5997;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1411.325191
0.055866;3579979.672517;0.055866;0.055866;0.055866;0.000000;1109;67;54718;457.800998;1085;1974;4913;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3496.073899
0.056510;7078397.964593;0.056510;0.056510;0.056510;0.000000;1104;65;43794;392.154633;1080;1925;4194;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6912.498012
0.066184;12087520.903856;0.066184;0.066184;0.066184;0.000000;1296;55;61153;454.396834;1255;2303;4696;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11804.219633
0.097029;16489901.110475;0.097029;0.097029;0.097029;0.000000;1719;61;58537;772.307784;1613;3946;6067;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16103.419053
0.217626;14704093.062131;0.217626;0.217626;0.217626;0.000000;3528;94;18020591;65572.162244;3220;6522;9143;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14359.465881
0.174859;285944.976317;0.174859;0.174859;0.174859;0.000000;3516;2010;23270;819.913945;3347;5427;8755;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1116.972564
0.161847;617869.168070;0.161847;0.161847;0.161847;0.000000;3232;1916;48456;803.444322;3008;5446;8924;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2413.551438
