pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011165;4478247.049305;0.011165;0.011165;0.011165;0.000000;244;108;36437;246.603532;248;545;750;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;273.330508
0.010681;9362573.524290;0.010681;0.010681;0.010681;0.000000;233;107;35924;176.767799;249;442;632;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;571.446138
0.010788;18538859.767430;0.010788;0.010788;0.010788;0.000000;235;84;37612;215.461464;255;480;646;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1131.522203
0.012216;32745070.864017;0.012216;0.012216;0.012216;0.000000;261;108;55353;259.711892;285;561;725;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1998.600517
0.011670;68554162.715876;0.011670;0.011670;0.011670;0.000000;250;107;46174;249.936680;267;563;701;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4184.214033
0.015555;102863144.186869;0.015555;0.015555;0.015555;0.000000;294;68;54907;277.235688;289;651;874;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6278.268078
0.028754;111290292.346034;0.028754;0.028754;0.028754;0.000000;356;45;11601777;13946.318899;324;742;1034;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6792.620382
0.013466;3713059.789248;0.013466;0.013466;0.013466;0.000000;290;116;31654;222.599954;297;601;760;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;906.508738
0.014244;7020287.930089;0.014244;0.014244;0.014244;0.000000;301;77;20141;199.094761;317;601;762;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1713.937483
0.017371;11513154.959640;0.017371;0.017371;0.017371;0.000000;364;99;40083;244.527988;367;701;955;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2810.828848
0.015174;26360972.527451;0.015174;0.015174;0.015174;0.000000;320;78;50873;270.311553;320;656;827;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6435.784308
0.016845;47492257.426320;0.016845;0.016845;0.016845;0.000000;356;78;39773;240.715959;343;714;929;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11594.789411
0.020188;79253507.252513;0.020188;0.020188;0.020188;0.000000;396;35;45677;251.461781;366;906;1320;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;19349.000794
0.050913;62852796.922947;0.050913;0.050913;0.050913;0.000000;776;33;18012005;33225.539551;625;1964;3261;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15344.921124
0.040093;1247097.785212;0.040093;0.040093;0.040093;0.000000;822;131;21525;357.157432;812;1411;4084;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1217.868931
