pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011511;4343735.043977;0.011511;0.011511;0.011511;0.000000;250;110;35242;227.231939;257;549;754;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;265.120547
0.010782;9275096.486510;0.010782;0.010782;0.010782;0.000000;235;85;51178;233.358897;253;459;635;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;566.106963
0.011475;17429845.525380;0.011475;0.011475;0.011475;0.000000;232;110;39633;233.914032;242;485;655;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1063.833345
0.012604;31735835.979044;0.012604;0.012604;0.012604;0.000000;270;108;42167;249.301176;296;578;744;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1937.001708
0.011710;68315646.981627;0.011710;0.011710;0.011710;0.000000;248;91;46772;260.696857;264;563;709;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4169.656188
0.014980;106805606.520002;0.014980;0.014980;0.014980;0.000000;291;72;57819;265.345994;287;649;862;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6518.896882
0.027513;116308645.635980;0.027513;0.027513;0.027513;0.000000;355;41;13014923;15776.376626;318;736;1026;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7098.916360
0.015144;3301645.896893;0.015144;0.015144;0.015144;0.000000;322;93;17733;198.148121;331;718;924;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;806.065893
0.015898;6290132.222982;0.015898;0.015898;0.015898;0.000000;329;80;52753;304.258109;354;728;913;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1535.676812
0.016252;12305877.853333;0.016252;0.016252;0.016252;0.000000;343;74;47933;274.445185;361;682;872;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3004.364710
0.016025;24960605.923701;0.016025;0.016025;0.016025;0.000000;333;73;44028;253.895792;329;669;832;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6093.897931
0.016617;48143374.821689;0.016617;0.016617;0.016617;0.000000;347;116;52958;256.309870;327;673;882;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11753.753619
0.016804;95216665.820627;0.016804;0.016804;0.016804;0.000000;332;35;71273;315.778852;312;693;936;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;23246.256304
0.036881;86766140.793356;0.036881;0.036881;0.036881;0.000000;499;34;13016526;25854.105929;422;864;1224;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;21183.139842
0.039667;1260488.397910;0.039667;0.039667;0.039667;0.000000;813;53;19746;351.296151;804;1393;2070;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1230.945701
0.040838;2448681.152575;0.040838;0.040838;0.040838;0.000000;828;54;22077;375.335885;814;1366;4598;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2391.290188
0.035818;5583799.810949;0.035818;0.035818;0.035818;0.000000;729;56;41224;359.951693;686;1318;1717;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5452.929503
0.033587;11909479.263676;0.033587;0.033587;0.033587;0.000000;686;72;42946;299.714921;661;1258;1694;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11630.350843
