pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.010836;4614406.361236;0.010836;0.010836;0.010836;0.000000;236;70;23157;192.376965;242;500;672;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;281.641013
0.010798;9260851.611245;0.010798;0.010798;0.010798;0.000000;235;110;17292;163.419252;251;449;631;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;565.237525
0.011041;18113487.520169;0.011041;0.011041;0.011041;0.000000;224;108;20365;151.647756;234;477;646;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1105.559541
0.012393;32275399.529102;0.012393;0.012393;0.012393;0.000000;262;108;20101;181.049940;287;556;703;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1969.934053
0.011928;67066832.098186;0.011928;0.011928;0.011928;0.000000;254;102;52924;247.071186;269;565;725;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4093.434576
0.015851;100937978.785108;0.015851;0.015851;0.015851;0.000000;300;108;45397;234.549357;294;657;878;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6160.765307
0.028348;112880959.126934;0.028348;0.028348;0.028348;0.000000;326;43;5027837;6995.366567;310;738;1022;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6889.706978
0.014004;3570316.417864;0.014004;0.014004;0.014004;0.000000;300;77;21130;211.043398;315;672;868;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;871.659282
0.016380;6104858.515020;0.016380;0.016380;0.016380;0.000000;341;73;17621;222.310829;379;717;918;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1490.443973
0.015930;12555301.394404;0.015930;0.015930;0.015930;0.000000;335;76;41393;261.019053;355;672;836;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3065.259129
0.017299;23123119.512306;0.017299;0.017299;0.017299;0.000000;360;107;79418;294.514980;362;691;860;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5645.292850
0.016282;49133324.997046;0.016282;0.016282;0.016282;0.000000;337;65;47457;239.873660;323;671;882;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11995.440673
0.017299;92491488.904287;0.017299;0.017299;0.017299;0.000000;340;35;70421;302.676459;325;692;2539;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22580.929908
0.032595;98174572.675231;0.032595;0.032595;0.032595;0.000000;493;35;13014705;18881.085310;451;926;1291;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;23968.401532
0.040093;1247088.298241;0.040093;0.040093;0.040093;0.000000;821;78;19395;355.134363;809;1430;2035;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1217.859666
0.040959;2441471.340007;0.040959;0.040959;0.040959;0.000000;832;55;23178;353.728526;821;1387;4060;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2384.249355
0.038223;5232508.750128;0.038223;0.038223;0.038223;0.000000;779;55;40769;355.050361;749;1371;1838;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5109.871826
0.033108;12081634.152170;0.033108;0.033108;0.033108;0.000000;675;69;44195;312.740639;653;1213;1679;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11798.470852
0.044589;17941459.305821;0.044589;0.044589;0.044589;0.000000;906;53;52417;362.798934;872;1641;3350;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;17520.956353
0.093674;17080457.473579;0.093674;0.093674;0.093674;0.000000;1535;55;62734;737.854395;1398;3899;6489;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16680.134252
0.180421;17736257.986110;0.180421;0.180421;0.180421;0.000000;2998;53;18022830;8
