thread_num,zipf,rw_ratio,txn_num_ops,ops_per_iter,mode,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1,0.1,0.5,20,1000000,Random,874008,0,0,0,0,9977,114,92
1,0.1,0.5,20,1000000,Random,843362,0,0,0,0,9977,110,89
1,0.1,0.5,20,1000000,Random,882365,0,0,0,0,9972,115,93
4,0.1,0.5,20,1000000,Random,2932579,900,0,0,0,9981,385,310
4,0.1,0.5,20,1000000,Random,2980749,879,0,0,0,9981,391,315
4,0.1,0.5,20,1000000,Random,2998548,849,0,0,0,9981,393,317
8,0.1,0.5,20,1000000,Random,5800779,3785,0,0,0,9982,307,159
8,0.1,0.5,20,1000000,Random,5784516,3906,0,0,0,9981,304,157
8,0.1,0.5,20,1000000,Random,5737570,3731,0,0,0,9981,298,152
16,0.1,0.5,20,1000000,Random,11431481,16343,0,0,0,9982,136,301
16,0.1,0.5,20,1000000,Random,11547561,16304,0,0,0,9982,151,313
16,0.1,0.5,20,1000000,Random,11500343,16515,0,0,0,9982,145,308
32,0.1,0.5,20,1000000,Random,21695072,64120,0,0,0,9982,119,23
32,0.1,0.5,20,1000000,Random,21772242,63889,0,0,0,9982,130,31
32,0.1,0.5,20,1000000,Random,21789800,64095,0,0,0,9982,132,33
48,0.1,0.5,20,1000000,Random,30186996,134667,0,0,0,9987,325,12
48,0.1,0.5,20,1000000,Random,30635608,136173,0,0,0,9985,384,60
48,0.1,0.5,20,1000000,Random,30425650,135674,0,0,0,9986,356,38
