thread_num,zipf,rw_ratio,txn_num_ops,ops_per_iter,mode,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1,0.1,0.5,20,1000000,Random,960518,0,0,0,0,9974,126,0
1,0.1,0.5,20,1000000,Random,957295,0,0,0,0,9975,125,0
1,0.1,0.5,20,1000000,Random,954704,0,0,0,0,9974,125,0
4,0.1,0.5,20,1000000,Random,3184497,763,0,0,0,9979,418,0
4,0.1,0.5,20,1000000,Random,3135980,810,0,0,0,9980,412,0
4,0.1,0.5,20,1000000,Random,3178243,755,0,0,0,9983,417,0
8,0.1,0.5,20,1000000,Random,6289935,3701,0,0,0,9977,371,0
8,0.1,0.5,20,1000000,Random,6300374,3560,0,0,0,9979,372,0
8,0.1,0.5,20,1000000,Random,6296282,3620,0,0,0,9980,372,0
16,0.1,0.5,20,1000000,Random,12460133,15384,0,0,0,9979,271,0
16,0.1,0.5,20,1000000,Random,12434955,15302,0,0,0,9980,268,0
16,0.1,0.5,20,1000000,Random,12379956,15390,0,0,0,9980,261,0
32,0.1,0.5,20,1000000,Random,22955508,58809,0,0,0,9981,285,0
32,0.1,0.5,20,1000000,Random,23675564,60485,0,0,0,9981,380,0
32,0.1,0.5,20,1000000,Random,23719214,60325,0,0,0,9981,385,0
48,0.1,0.5,20,1000000,Random,32536412,126830,0,0,0,9983,179,0
48,0.1,0.5,20,1000000,Random,32946480,129566,0,0,0,9984,232,0
48,0.1,0.5,20,1000000,Random,32206521,124957,0,0,0,9983,135,0
