thread_num,zipf,rw_ratio,txn_num_ops,ops_per_iter,mode,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1,0.1,0.5,20,1000000,Random,937532,0,0,0,0,9974,123,0
1,0.1,0.5,20,1000000,Random,949192,0,0,0,0,9974,124,0
1,0.1,0.5,20,1000000,Random,964557,0,0,0,0,9974,126,0
1,0.1,0.5,20,1000000,WriteFirst,953993,0,0,0,0,9975,125,0
1,0.1,0.5,20,1000000,WriteFirst,963294,0,0,0,0,9974,126,0
1,0.1,0.5,20,1000000,WriteFirst,957304,0,0,0,0,9974,125,0
1,0.1,0.5,20,1000000,ReadFirst,948755,0,0,0,0,9975,124,0
1,0.1,0.5,20,1000000,ReadFirst,953923,0,0,0,0,9975,125,0
1,0.1,0.5,20,1000000,ReadFirst,951693,0,0,0,0,9975,125,0
1,0.1,0.5,20,1000000,Interleave,982984,0,0,0,0,9973,129,0
1,0.1,0.5,20,1000000,Interleave,980677,0,0,0,0,9974,128,0
1,0.1,0.5,20,1000000,Interleave,961851,0,0,0,0,9975,126,0
4,0.1,0.5,20,1000000,Random,3257317,755,0,0,0,9980,427,0
4,0.1,0.5,20,1000000,Random,3221973,734,0,0,0,9979,423,0
4,0.1,0.5,20,1000000,Random,3212692,739,0,0,0,9980,422,0
4,0.1,0.5,20,1000000,WriteFirst,3198186,681,0,0,0,9980,420,0
4,0.1,0.5,20,1000000,WriteFirst,3271245,629,0,0,0,9979,429,0
4,0.1,0.5,20,1000000,WriteFirst,3135608,618,0,0,0,9980,412,0
4,0.1,0.5,20,1000000,ReadFirst,3141605,931,0,0,0,9981,412,0
4,0.1,0.5,20,1000000,ReadFirst,3144235,899,0,0,0,9980,413,0
4,0.1,0.5,20,1000000,ReadFirst,3197168,944,0,0,0,9979,420,0
4,0.1,0.5,20,1000000,Interleave,3184299,796,0,0,0,9978,418,0
4,0.1,0.5,20,1000000,Interleave,3337834,863,0,0,0,9973,438,0
4,0.1,0.5,20,1000000,Interleave,3343648,832,0,0,0,9979,439,0
8,0.1,0.5,20,1000000,Random,6254936,3634,0,0,0,9980,366,0
8,0.1,0.5,20,1000000,Random,6296967,3628,0,0,0,9979,372,0
8,0.1,0.5,20,1000000,Random,6316480,3611,0,0,0,9980,374,0
8,0.1,0.5,20,1000000,WriteFirst,6354258,2757,0,0,0,9979,379,0
8,0.1,0.5,20,1000000,WriteFirst,5925014,2756,0,0,0,9981,323,0
8,0.1,0.5,20,1000000,WriteFirst,6110902,2794,0,0,0,9980,347,0
8,0.1,0.5,20,1000000,ReadFirst,6210512,4516,0,0,0,9977,360,0
8,0.1,0.5,20,1000000,ReadFirst,5792542,4097,0,0,0,9982,305,0
8,0.1,0.5,20,1000000,ReadFirst,6248771,4377,0,0,0,9980,365,0
8,0.1,0.5,20,1000000,Interleave,6504241,3781,0,0,0,9979,399,0
8,0.1,0.5,20,1000000,Interleave,6490357,3620,0,0,0,9979,397,0
8,0.1,0.5,20,1000000,Interleave,6445621,3665,0,0,0,9980,391,0
16,0.1,0.5,20,1000000,Random,12406454,15303,0,0,0,9980,264,0
16,0.1,0.5,20,1000000,Random,12424905,15444,0,0,0,9980,267,0
16,0.1,0.5,20,1000000,Random,12373793,15129,0,0,0,9981,260,0
16,0.1,0.5,20,1000000,WriteFirst,12407999,12147,0,0,0,9981,265,0
16,0.1,0.5,20,1000000,WriteFirst,12456944,12098,0,0,0,9980,271,0
16,0.1,0.5,20,1000000,WriteFirst,12347280,12116,0,0,0,9980,257,0
16,0.1,0.5,20,1000000,ReadFirst,12289837,18159,0,0,0,9981,249,0
16,0.1,0.5,20,1000000,ReadFirst,12228973,18529,0,0,0,9980,241,0
16,0.1,0.5,20,1000000,ReadFirst,12315928,18486,0,0,0,9980,252,0
16,0.1,0.5,20,1000000,Interleave,12937424,15735,0,0,0,9979,334,0
16,0.1,0.5,20,1000000,Interleave,12785486,15635,0,0,0,9979,314,0
16,0.1,0.5,20,1000000,Interleave,12882613,15874,0,0,0,9979,327,0
32,0.1,0.5,20,1000000,Random,23797617,61607,0,0,0,9981,396,0
32,0.1,0.5,20,1000000,Random,23787664,61214,0,0,0,9980,394,0
32,0.1,0.5,20,1000000,Random,23584569,60377,0,0,0,9981,368,0
32,0.1,0.5,20,1000000,WriteFirst,23416670,46856,0,0,0,9982,346,0
32,0.1,0.5,20,1000000,WriteFirst,23574049,47489,0,0,0,9981,366,0
32,0.1,0.5,20,1000000,WriteFirst,23664406,47593,0,0,0,9981,378,0
32,0.1,0.5,20,1000000,ReadFirst,23145818,71412,0,0,0,9982,310,0
32,0.1,0.5,20,1000000,ReadFirst,23497753,73160,0,0,0,9982,356,0
32,0.1,0.5,20,1000000,ReadFirst,23308455,72582,0,0,0,9981,331,0
32,0.1,0.5,20,1000000,Interleave,24160462,60753,0,0,0,9979,443,0
32,0.1,0.5,20,1000000,Interleave,23591194,59223,0,0,0,9980,369,0
32,0.1,0.5,20,1000000,Interleave,22783630,57545,0,0,0,9983,262,0
48,0.1,0.5,20,1000000,Random,33139788,130181,0,0,0,9982,258,0
48,0.1,0.5,20,1000000,Random,32591700,127029,0,0,0,9982,186,0
48,0.1,0.5,20,1000000,Random,32239647,124985,0,0,0,9981,140,0
48,0.1,0.5,20,1000000,WriteFirst,32755105,99768,0,0,0,9983,207,0
48,0.1,0.5,20,1000000,WriteFirst,33024085,101122,0,0,0,9981,243,0
48,0.1,0.5,20,1000000,WriteFirst,33150351,102291,0,0,0,9982,259,0
48,0.1,0.5,20,1000000,ReadFirst,32314491,152993,0,0,0,9984,149,0
48,0.1,0.5,20,1000000,ReadFirst,32435776,152854,0,0,0,9984,165,0
48,0.1,0.5,20,1000000,ReadFirst,32700278,153961,0,0,0,9983,200,0
48,0.1,0.5,20,1000000,Interleave,33338171,128467,0,0,0,9981,284,0
48,0.1,0.5,20,1000000,Interleave,33349584,127694,0,0,0,9985,285,0
48,0.1,0.5,20,1000000,Interleave,33679699,130313,0,0,0,9982,329,0
